;1. Gang Pinion -> 1. Gang Wheel\Powerloss;2. Gang Pinion -> 2. Gang Wheel\Powerloss;Konstant Pinion -> Konstant Wheel\Powerloss;1. Gang Pinion\Lifetime;1. Gang Wheel\Lifetime;2. Gang Pinion\Lifetime;2. Gang Wheel\Lifetime;Konstant Pinion\Lifetime;Konstant Wheel\Lifetime;1. Gang Pinion\contactDamage;1. Gang Wheel\contactDamage;2. Gang Pinion\contactDamage;2. Gang Wheel\contactDamage;Konstant Pinion\contactDamage;Konstant Wheel\contactDamage;1. Gang Pinion\Powerloss;1. Gang Wheel\Powerloss;2. Gang Pinion\Powerloss;2. Gang Wheel\Powerloss;Konstant Pinion\Powerloss;Konstant Wheel\Powerloss;Rolling Bearing 7\Lifetime;Rolling Bearing 8\Lifetime;Rolling Bearing 1\Lifetime;Rolling Bearing 2\Lifetime;Rolling Bearing 3\Lifetime;Rolling Bearing 4\Lifetime;Rolling Bearing 5\Lifetime;Rolling Bearing 6\Lifetime;Rolling Bearing 7\Powerloss;Rolling Bearing 8\Powerloss;Rolling Bearing 1\Powerloss;Rolling Bearing 2\Powerloss;Rolling Bearing 3\Powerloss;Rolling Bearing 4\Powerloss;Rolling Bearing 5\Powerloss;Rolling Bearing 6\Powerloss
91;100.468745;6.9034786e-07;73.9033627;101825427.74304773;428515341.5247334;2.1600000000000003e+31;2.1600000000000003e+31;114343435.94116248;593156573.0224113;2121.27761;504.065967;0.0;0.0;1889.04591;364.153429;6.97527831;0.0;7.31467969;0.0;0.0;87.8022418;58272536.7;10345687.5;274313090.0;3959970950.0;25897380.5;23393964.5;inf;1.14784738e+27;2.11844766;2.74486741;25.9615145;21.6169168;6.96677813;7.26807892;2.62716116e-16;2.0113026
92;100.401817;2.56911767e-07;73.8350178;101825604.87049216;428516087.07915086;2.1600000000000003e+31;2.1600000000000003e+31;114280961.6488965;592832488.886909;2121.27392;504.06509;0.0;0.0;1890.0786;364.352501;6.75266591;0.0;7.12036764;0.0;0.0;86.6771098;58405484.1;10511542.0;288662905.0;3958583700.0;27326212.7;24573883.0;inf;1.18240692e+27;2.13790993;2.75067916;26.1766585;21.8331315;6.98797824;7.28822464;2.60328308e-16;2.02580602
93;100.334372;5.5863859e-07;73.7663595;101825076.8501197;428513864.0254686;2.1600000000000003e+31;2.1600000000000003e+31;114217804.24700186;592504857.9843622;2121.28492;504.067705;0.0;0.0;1891.12373;364.553973;6.53413068;0.0;6.92912147;0.0;0.0;85.5608807;82296336.7;10556099.6;304060663.0;3957162820.0;28860167.3;25834789.9;inf;1.23391364e+27;1.95515096;2.76666639;26.3964031;22.0539285;7.00961829;7.30873147;2.579405e-16;2.04057644
94;100.265796;4.32178505e-07;73.6969103;101825459.90435363;428515477.54358983;2.1600000000000003e+31;2.1600000000000003e+31;114155514.7871214;592181732.1953359;2121.27694;504.065807;0.0;0.0;1892.15563;364.752893;6.31964902;0.0;6.74092468;0.0;0.0;84.4535247;113205469.0;10518433.5;320611348.0;3955784860.0;30509476.5;27184241.3;inf;1.28744726e+27;1.81074938;2.78945812;26.6207953;22.2793958;7.03167224;7.32956734;2.55552692e-16;2.05562056
95;100.196715;2.47137895e-07;73.6271349;101825053.8093554;428513768.812977;2.1600000000000003e+31;2.1600000000000003e+31;114092542.93357852;591855066.4874774;2121.2854;504.067817;0.0;0.0;1893.19998;364.954213;6.10919728;0.0;6.55576071;0.0;0.0;83.3550119;152601673.0;10443957.7;338413930.0;3954373370.0;32284182.3;28629296.0;inf;1.34208335e+27;1.69490759;2.81539206;26.8500506;22.5097079;7.05419135;7.35078879;2.53164884e-16;2.07094517
96;100.126553;9.51545287e-07;73.5566304;101825378.78109865;428515135.79637706;2.1600000000000003e+31;2.1600000000000003e+31;114030196.14619114;591531642.8596815;2121.27863;504.066209;0.0;0.0;1894.2351;365.153754;5.90275172;0.0;6.37361293;0.0;0.0;82.2653124;163531682.0;10583127.6;357595576.0;3952992740.0;34196795.2;30179113.0;inf;1.38646027e+27;1.68913081;2.82468598;27.084238;22.7449684;7.07715069;7.37236282;2.50777076e-16;2.08655735
97;100.0558;3.14145103e-08;73.4857343;101825099.89089441;428513962.63845086;2.1600000000000003e+31;2.1600000000000003e+31;113967340.79069833;591205580.5077156;2121.28444;504.067589;0.0;0.0;1895.27981;365.355144;5.70028855;0.0;6.19446465;0.0;0.0;81.1843963;132499631.0;11020139.7;378282367.0;3951587120.0;36259928.2;31842519.9;inf;1.41744098e+27;1.81990518;2.81176678;27.3235607;22.9853505;7.10059522;7.39433782;2.48389269e-16;2.1024643
98;99.9841908;3.91290077e-07;73.4142549;101824898.28446919;428513113.3781342;2.1600000000000003e+31;2.1600000000000003e+31;113904587.72716986;590880048.7567955;2121.28864;504.068588;0.0;0.0;1896.32397;365.556428;5.50178389;0.0;6.01829912;0.0;0.0;80.1122339;104714791.0;11493591.9;400626613.0;3950186690.0;38488611.4;33630285.9;inf;1.44809249e+27;1.97819826;2.80163946;27.5681345;23.2309861;7.12452049;7.41670334;2.46001461e-16;2.1186734
99;99.911555;8.88962981e-07;73.3420862;101825209.81473398;428514425.0999388;2.1600000000000003e+31;2.1600000000000003e+31;113842265.53276256;590556751.478545;2121.28215;504.067045;0.0;0.0;1897.3621;365.75655;5.30721381;0.0;5.84509953;0.0;0.0;79.0487951;80384955.3;12225015.2;424796989.0;3948807480.0;40899522.8;35554237.1;inf;1.47860787e+27;2.17335147;2.79772626;27.8180954;23.4820201;7.14892854;7.43945813;2.43613653e-16;2.13519233
100;99.8382098;6.82494262e-07;73.2694474;101825156.53284323;428514199.81986135;2.1600000000000003e+31;2.1600000000000003e+31;113779628.51815172;590231823.9872301;2121.28326;504.06731;0.0;0.0;1898.40662;365.957902;5.1165543;0.0;5.674849;0.0;0.0;77.9940502;79438246.7;12857381.1;450973776.0;3947412950.0;43510579.8;37626868.1;inf;1.52381875e+27;2.22886132;2.80388247;28.073642;23.7386313;7.17385302;7.46263414;2.41225845e-16;2.15202891
101;100.571263;6.7248502e-07;76.0944405;101825052.36930798;428513762.8621977;2.1600000000000003e+31;2.1600000000000003e+31;103789128.70573679;538406105.2580247;2121.28543;504.067824;0.0;0.0;2081.14282;401.184158;5.33855793;0.0;5.87303731;0.0;0.0;79.2209744;62316269.7;6384208.68;62869106.2;647068403.0;5898703.58;5563807.78;inf;4.27477115e+26;1.53339644;2.6178204;20.3426032;16.0439087;6.0236359;6.54338931;2.44001588e-16;1.30765265
